S.N.,Country,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,Serious Critical,Tot cases/ 1M pop,Deaths / 1M pop,TOtal Tests,Tests/ 1M pop,Population,,,,,,,,,,,,
37,Austria,"620,485",,"10,233 ",,"587,115",,"23,137",484,"68,568","1,131","32,228,406","3,561,491","9,049,134 ",Europe,158840,,,"2,557",,,,,
38,Japan,"591,602",,"10,229 ",,"523,227",,"58,146","1,020","4,690",81,"11,897,791","94,312","126,153,600 ",Asia,"21312,33311",,,461,,,,,
39,Lebanon,"527,508",,"7,302 ",,"464,660",,"55,546",582,"77,575","1,074","4,011,613","589,948","6,799,947 ",Asia,139312,,,"8,169",,,,,
40,UAE,"521,948",,"1,591 ",,"502,460",,"17,897",,"52,249",159,"44,311,796","4,435,810","9,989,561 ",Asia,"196,2790",,,"1,792",,,,,
41,Morocco,"511,562",,"9,026 ",,"498,131",,"4,405",207,"13,725",242,"6,270,195","168,221","37,273,622 ",Africa,"734,1306",,,118,,,,,
42,Saudi Arabia,"418,411",,"6,968 ",,"401,544",,"9,899","1,333","11,865",198,"16,969,267","481,218","35,263,191 ",Asia,"845,0612",,,281,,,,,
43,Malaysia,"411,594",,"1,521 ",,"380,442",,"29,631",337,"12,583",46,"9,482,220","289,887","32,710,014 ",Asia,"7921,5063",,,906,,,,,
44,Bulgaria,"404,846",,"16,444 ",,"339,889",,"48,513",670,"58,633","2,382","2,525,448","365,754","6,904,772 ",Europe,174203,,,"7,026",,,,,
45,Ecuador,"384,589",,"18,724 ",,"318,598",,"47,267",623,"21,527","1,048","1,291,070","72,268","17,865,111 ",South America,4695414,,,"2,646",,,,,
46,Slovakia,"382,720",,"11,732 ",,"363,604",,"7,384",310,"70,072","2,148","2,629,250","481,385","5,461,845 ",Europe,144662,,,"1,352",,,,,
47,Panama,"364,844",,"6,235 ",,"354,713",,"3,896",105,"83,468","1,426","2,402,739","549,693","4,371,053 ",North America,127012,,,891,,,,,
48,Belarus,"359,982",,"2,552 ",,"350,433",,"6,997",,"38,107",270,"5,868,221","621,191","9,446,733 ",Europe,"263,7022",,,741,,,,,
49,Greece,"346,422",,"10,453 ",,"306,498",,"29,471",811,"33,372","1,007","8,165,612","786,624","10,380,577 ",Europe,309931,,,"2,839",,,,,
50,Croatia,"334,229",,"7,130 ",,"312,823",,"14,276",246,"81,836","1,746","1,814,505","444,281","4,084,137 ",Europe,125732,,,"3,495",,,,,
51,Nepal,"328,893",,"3,298 ",,"282,382",,"43,213",,"11,122",112,"2,488,359","84,149","29,570,715 ",Asia,"908,96612",,,"1,461",,,,,
52,Kazakhstan,"325,499","+2,804","3,717 ",+18,"278,584","+1,607","43,198",221,"17,165",196,"10,190,393","537,381","18,963,084 ",Asia,"585,1022",148,0.9,"2,278",,,,,
53,Azerbaijan,"320,322",,"4,538 ",,"291,564",,"24,220",,"31,358",444,"3,253,878","318,536","10,215,094 ",Asia,"322,2513",,,"2,371",,,,,
